time,Î£_ATM,AVG_LTP_%_x1000
09:22,0.0,0.0
09:29,-442826.0,202.53
09:34,-559818.0,156.47
09:38,-714125.0,-87.23
09:39,-684963.0,-95.07
09:42,-677062.0,11.6
09:44,-763734.0,-8.33
09:48,-824571.0,-42.59
09:49,-890511.0,31.19
09:57,-1035380.0,-270.82
10:02,-1164118.0,-262.5
10:04,-1311807.0,-126.99
10:07,-1248727.0,-263.16
10:12,-1320101.0,-333.69
10:17,-1454726.0,-338.72
10:22,-1447967.0,-570.57
10:27,-1754662.0,-446.72
10:32,-1868448.0,-473.1
10:37,-1885771.0,-430.54
10:42,-1837878.0,-564.62
10:45,-2004462.0,-491.93
10:47,-2016585.0,-533.45
10:52,-2088014.0,-530.79
10:57,-2154426.0,-518.11
11:02,-2195268.0,-434.51
11:07,-2319287.0,-364.07
11:12,-2437760.0,-389.87
11:17,-2548633.0,-245.91
11:22,-2447085.0,-278.75
11:27,-2374633.0,-269.84
11:29,-2363690.0,-277.88
11:30,-2499976.0,-180.93
11:32,-2553837.0,-168.87
11:37,-2472612.0,-244.45
11:42,-2510772.0,-251.38
11:47,-2448297.0,-317.06
